bin_low,bin_high,count,avg_confidence,accuracy
0.0,0.1,0,,
0.1,0.2,2,0.16634985148470416,0.0
0.2,0.30000000000000004,5,0.2653737618878495,0.0
0.30000000000000004,0.4,10,0.35989762715240003,0.0
0.4,0.5,14,0.4451538072438543,0.0
0.5,0.6000000000000001,24,0.5413866316957417,1.0
0.6000000000000001,0.7000000000000001,10,0.6369467497127046,1.0
0.7000000000000001,0.8,24,0.7579175267610571,1.0
0.8,0.9,9,0.8537490630279821,1.0
0.9,1.0,2,0.9179276494701398,1.0

overall_accuracy,0.69
ece,0.3341833391906428
